id,order_id,product_id,quantity
1,1,1,1
2,1,4,1
3,2,3,1
4,2,7,1
5,3,2,1
6,3,5,1
7,4,1,2
8,4,8,1
9,5,3,1
10,5,4,1
11,6,2,1
12,6,6,1
13,7,1,1
14,7,9,1
15,8,3,1
16,8,5,1
17,9,2,2
18,9,7,1
19,10,1,1
20,10,4,2
21,11,3,1
22,11,6,1
23,12,2,1
24,12,10,1
25,13,1,1
26,13,5,1
27,14,3,2
28,14,4,1
29,15,2,1
30,15,8,1
31,16,1,1
32,16,6,2
33,17,3,1
34,17,7,1
35,18,2,1
36,18,4,1
37,19,1,2
38,19,9,1
39,20,3,1
40,20,5,1
41,21,2,1
42,21,4,1
43,22,1,1
44,22,8,1
45,23,3,2
46,23,6,1
47,24,2,1
48,24,7,1
49,25,1,1
50,25,10,1
51,26,3,1
52,26,4,2
53,27,2,1
54,27,5,1
55,28,1,1
56,28,6,1
57,29,3,1
58,29,7,2
59,30,2,1
60,30,4,1
61,31,1,1
62,31,8,1
63,32,3,2
64,32,5,1
65,33,2,1
66,33,6,1
67,34,1,1
68,34,9,2
69,35,3,1
70,35,4,1
71,36,2,1
72,36,7,1
73,37,1,2
74,37,10,1
75,38,3,1
76,38,5,1
77,39,2,1
78,39,4,1
79,40,1,1
80,40,6,1
81,41,3,1
82,41,8,1
83,42,2,2
84,42,7,1
85,43,1,1
86,43,5,1
87,44,3,1
88,44,4,2
89,45,2,1
90,45,6,1
91,46,1,1
92,46,9,1
93,47,3,2
94,47,7,1
95,48,2,1
96,48,4,1
97,49,1,1
98,49,10,1
99,50,3,1
100,50,5,1
101,51,2,1
102,52,1,1
103,53,3,1
104,54,2,1
105,55,1,2
106,56,3,1
107,57,2,1
108,58,1,1
109,59,3,1
110,60,2,1
111,61,1,1
112,61,4,1
113,62,3,1
114,62,6,1
115,63,2,1
116,63,8,1
117,64,1,2
118,64,5,1
119,65,3,1
120,65,7,1
121,66,2,1
122,66,4,1
123,67,1,1
124,67,9,1
125,68,3,1
126,68,6,2
127,69,2,1
128,69,7,1
129,70,1,1
130,70,10,1
131,71,3,1
132,71,4,1
133,72,2,2
134,72,5,1
135,73,1,1
136,73,8,1
137,74,3,1
138,74,6,1
139,75,2,1
140,76,1,1
141,77,3,1
142,78,2,1
143,79,1,1
144,80,3,1
145,81,1,1
146,81,4,1
147,81,9,1
148,82,3,2
149,82,5,1
150,82,7,1
151,83,2,1
152,83,6,1
153,83,10,1
154,84,1,1
155,84,8,1
156,84,4,1
157,85,3,1
158,85,7,1
159,86,2,1
160,86,5,1
161,87,1,2
162,87,4,1
163,88,3,1
164,88,9,1
165,89,2,1
166,89,6,1
167,90,1,1
168,90,5,1
169,91,3,1
170,91,7,1
171,92,2,1
172,92,4,1
173,93,1,1
174,93,8,1
175,94,3,1
176,94,6,1
177,95,2,1
178,95,10,1
179,96,1,1
180,96,4,2
181,97,3,1
182,97,5,1
183,98,2,1
184,98,7,1
185,99,1,1
186,99,4,1
